,YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES,TURNOUT,PREDICTED WINNER
70,2006,PURASAWALKAM,". VENKATESAN, G.",N,IND,M,54,GEN,408,294352,191680,191680,0.6511931293145622,N
70,2006,PURASAWALKAM,". VENKATESAN, G.",N,IND,M,54,GEN,408,294352,191680,191680,0.6511931293145622,N
71,2006,PURASAWALKAM,". BALACHANDAR, V.G.",N,IND,M,47,GEN,348,294352,191680,191680,0.6511931293145622,N
72,2006,PURASAWALKAM,". SATHIYASEELAN, N.",N,IND,M,58,GEN,184,294352,191680,191680,0.6511931293145622,N
73,2006,PURASAWALKAM,". BABU, M.R.S.",N,IND,M,49,SC,161,294352,191680,191680,0.6511931293145622,W
73,2006,PURASAWALKAM,". BABU, M.R.S.",N,IND,M,49,SC,161,294352,191680,191680,0.6511931293145622,N
74,2006,PURASAWALKAM,". VASANTHA KUMARI, A.",N,LJP,F,36,GEN,147,294352,191680,191680,0.6511931293145622,N
75,2006,PURASAWALKAM,". SENTHIL VADIVELAN, S.P.",N,IND,M,31,GEN,139,294352,191680,191680,0.6511931293145622,W
76,2006,PURASAWALKAM,". BASKAR, B.",N,IND,M,29,GEN,137,294352,191680,191680,0.6511931293145622,N
76,2006,PURASAWALKAM,". BASKAR, B.",N,IND,M,29,GEN,137,294352,191680,191680,0.6511931293145622,N
77,2006,PURASAWALKAM,". SATHISH KUMAR, V.",N,IND,M,40,GEN,128,294352,191680,191680,0.6511931293145622,N
78,2006,PURASAWALKAM,. GIRIJA,N,TNJC,F,49,GEN,121,294352,191680,191680,0.6511931293145622,N
79,2006,PURASAWALKAM,". AYYAVOO, V.",N,IND,M,50,GEN,101,294352,191680,191680,0.6511931293145622,N
79,2006,PURASAWALKAM,". AYYAVOO, V.",N,IND,M,50,GEN,101,294352,191680,191680,0.6511931293145622,N
80,2006,PURASAWALKAM,". SUGUMAR, P.",N,IND,M,44,GEN,77,294352,191680,191680,0.6511931293145622,N
80,2006,PURASAWALKAM,". SUGUMAR, P.",N,IND,M,44,GEN,77,294352,191680,191680,0.6511931293145622,N
81,2006,PURASAWALKAM,". KUMARAN, K.",N,IND,M,35,SC,72,294352,191680,191680,0.6511931293145622,N
81,2006,PURASAWALKAM,". KUMARAN, K.",N,IND,M,35,SC,72,294352,191680,191680,0.6511931293145622,N
82,2006,PURASAWALKAM,". GOPI, K.",N,IND,M,52,GEN,72,294352,191680,191680,0.6511931293145622,N
83,2006,EGMORE,. PARITHI ELLAMVAZHUTHI,W,DMK,M,46,SC,38455,122297,79326,79326,0.6486340629778327,N
84,2006,EGMORE,". SATHYA, C.E.",N,MDMK,M,42,SC,31975,122297,79326,79326,0.6486340629778327,N
85,2006,EGMORE,". ETHIRAJ, V.",N,DMDK,M,39,SC,6031,122297,79326,79326,0.6486340629778327,N
86,2006,EGMORE,. SRIRANGAN ALIAS SRIRANGAN PRAKASH,N,BJP,M,43,SC,1559,122297,79326,79326,0.6486340629778327,N
87,2006,EGMORE,". ARUNKUMAR, S.",N,BSP,M,47,SC,376,122297,79326,79326,0.6486340629778327,N
88,2006,EGMORE,". VALLUVAN, A.",N,IND,M,46,SC,208,122297,79326,79326,0.6486340629778327,N
