YEAR,CONSTITUENCY,NAME,WINNER,PARTY,GENDER,AGE,CATEGORY,VOTES,ELECTORS,VOTERS,VALID VOTES
2006,THOUSAND LIGHTS,". SHRI ISHRAYEL MAHESWAR, A",N,LKPT,M,31,GEN,2459,169506,108295,108291
2006,THOUSAND LIGHTS,". SHIVALINGAM, M.",N,BJP,M,42,SC,1305,169506,108295,108291
2006,THOUSAND LIGHTS,". PARBAN, D.",N,IND,M,36,GEN,388,169506,108295,108291
2006,THOUSAND LIGHTS,". SURESH, D.",N,IND,M,34,GEN,233,169506,108295,108291
2006,THOUSAND LIGHTS,. PARTHASARATHY,N,IND,M,48,GEN,228,169506,108295,108291
2006,THOUSAND LIGHTS,". MAHALINGAM, S.",N,IND,M,38,GEN,183,169506,108295,108291
2006,THOUSAND LIGHTS,". JAYAKUMAR, T.",N,IND,M,36,GEN,100,169506,108295,108291
2006,THOUSAND LIGHTS,". NEELAN, G.",N,IND,M,46,GEN,90,169506,108295,108291
2006,THOUSAND LIGHTS,". DEVARAJAN, G.",N,IND,M,43,GEN,67,169506,108295,108291
2006,THOUSAND LIGHTS,". KRISHNARAJA, G.",N,IND,M,39,GEN,63,169506,108295,108291
2006,THOUSAND LIGHTS,". BHAGAVATHI, M.",N,IND,M,25,GEN,62,169506,108295,108291
2006,THOUSAND LIGHTS,". SELVARAJ, K.",N,IND,M,56,GEN,51,169506,108295,108291
2006,THOUSAND LIGHTS,". PRABU, T.",N,IND,M,25,GEN,48,169506,108295,108291
2006,THOUSAND LIGHTS,". MANI, D.",N,IND,M,39,GEN,45,169506,108295,108291
2006,THOUSAND LIGHTS,. MD. HASHIM,N,IND,M,46,GEN,40,169506,108295,108291
2006,THOUSAND LIGHTS,". RAJKAMAL, V.",N,IND,M,36,GEN,37,169506,108295,108291
2006,THOUSAND LIGHTS,". CHANDRASEKARAN, P.",N,IND,M,60,GEN,34,169506,108295,108291
2006,THOUSAND LIGHTS,". GOVINDARAJAN, A.",N,IND,M,45,GEN,32,169506,108295,108291
2006,THOUSAND LIGHTS,". GUNASEKARAN, R.",N,IND,M,51,GEN,25,169506,108295,108291
2006,THOUSAND LIGHTS,". THIRUMARAN, C.",N,IND,M,38,GEN,24,169506,108295,108291
2006,THOUSAND LIGHTS,". RAJKUMAR, S.",N,IND,M,33,GEN,23,169506,108295,108291
2006,THOUSAND LIGHTS,". MADHAVAN, R.",N,IND,M,51,GEN,22,169506,108295,108291
